ReciboID;FechaPago;ClienteID;FacturaID;Importe
50060;2024-08-07;19;20083;49867,27
50061;2024-08-07;1;20084;18273,89
50062;2024-08-07;71;20295;70458,57
50063;2024-08-07;33;20296;23992,56
50064;2024-08-08;37;20085;81907,16
50065;2024-08-08;58;20105;368578,19
50066;2024-08-08;32;20126;117768,66
50067;2024-08-08;28;20189;36787,49
50068;2024-08-08;69;20209;82830,29
50069;2024-08-08;71;20330;34213,61
50070;2024-08-09;44;20030;571321,27
50071;2024-08-09;68;20031;48900,66
50072;2024-08-09;3;20050;16295,41
50073;2024-08-09;3;20100;45552,01
50074;2024-08-09;28;20329;128082,42
50075;2024-08-09;47;20342;41318,61
50076;2024-08-10;19;20049;48654,73
50077;2024-08-10;58;20066;343196,45
50078;2024-08-10;1;20148;5490,11
50079;2024-08-10;27;20165;9405,54
50080;2024-08-10;41;20233;27913,94
50081;2024-08-10;78;20261;39496,31
50082;2024-08-11;4;20019;105786,9
50083;2024-08-11;1;20060;16348,34
50084;2024-08-11;49;20061;43343,37
50085;2024-08-11;46;20077;431710,04
50086;2024-08-11;36;20086;81642,65
50087;2024-08-11;76;20088;72673,74
50088;2024-08-11;43;20118;30366,67
50089;2024-08-11;23;20127;331887,94
50090;2024-08-11;37;20128;16188,58
50091;2024-08-11;23;20130;320612,45
50092;2024-08-11;75;20236;33667,52
50093;2024-08-12;67;20033;230144,26
50094;2024-08-12;57;20096;243153,63
50095;2024-08-12;32;20309;68472,05
50096;2024-08-13;57;20117;319397,74
50097;2024-08-13;14;20120;16274,99
50098;2024-08-13;72;20122;38434,33
50099;2024-08-13;22;20143;26462,92
50100;2024-08-13;34;20155;66156,41
50101;2024-08-13;75;20200;43059,08
50102;2024-08-13;28;20226;46190,26
50103;2024-08-13;27;20240;15306,13
50104;2024-08-13;78;20317;65836,56
50105;2024-08-13;28;20374;278765,4
50106;2024-08-14;64;20028;58340,23
50107;2024-08-14;67;20045;329931,08
50108;2024-08-14;57;20081;292279,68
50109;2024-08-14;46;20095;267641,37
50110;2024-08-14;38;20103;151852,37
50111;2024-08-14;57;20109;235794,31
50112;2024-08-14;25;20115;152453,38
50113;2024-08-14;12;20119;13460,43
50114;2024-08-14;77;20210;16581,82
50115;2024-08-15;22;20087;25680,55
50116;2024-08-15;63;20104;31721,76
50117;2024-08-15;72;20152;74093,93
50118;2024-08-15;6;20166;107733,43
50119;2024-08-15;77;20253;7500,85
50120;2024-08-16;7;20014;146979,06
50121;2024-08-16;24;20057;62879,09
50122;2024-08-16;80;20131;336214,48
50123;2024-08-16;77;20231;33897,54
50124;2024-08-16;28;20415;22275,38
50125;2024-08-16;14;20421;6302,6
50126;2024-08-16;14;20429;30605,08
50127;2024-08-17;73;20136;357799,39
50128;2024-08-17;46;20167;142948,01
50129;2024-08-17;69;20190;60614,96
50130;2024-08-17;14;20405;30984,74
50131;2024-08-18;36;20086;57145,26
50132;2024-08-18;6;20139;244489,87
50133;2024-08-18;49;20172;72090,39
50134;2024-08-18;57;20181;284638,49
50135;2024-08-18;58;20185;315645,46
50136;2024-08-18;69;20262;50450,95
50137;2024-08-19;64;20099;10148,49
50138;2024-08-19;3;20100;50900,76
50139;2024-08-19;35;20163;166064,44
50140;2024-08-19;6;20183;241213,4
50141;2024-08-20;51;20056;94400,3
50142;2024-08-20;76;20138;40924,92
50143;2024-08-20;43;20141;17233,06
50144;2024-08-20;77;20149;4707,46
50145;2024-08-20;6;20192;324941,17
50146;2024-08-20;3;20199;69777,25
50147;2024-08-20;23;20207;324266,53
50148;2024-08-20;77;20343;50625,76
50149;2024-08-21;38;20015;48454,52
50150;2024-08-21;77;20278;2411,13
50151;2024-08-21;42;20347;50635,01
50152;2024-08-22;16;20043;336325,19
50153;2024-08-22;23;20171;277605,07
50154;2024-08-22;6;20177;222198,4
50155;2024-08-22;12;20201;19047,27
50156;2024-08-22;79;20205;18573,69
50157;2024-08-22;41;20365;25917,91
50158;2024-08-22;5;20440;63079,01
50159;2024-08-23;2;20003;112417,65
50160;2024-08-23;26;20005;7075,82
50161;2024-08-23;64;20093;46390,22
50162;2024-08-23;2;20174;288326,03
50163;2024-08-23;50;20193;73083,21
50164;2024-08-23;79;20194;12456,93
50165;2024-08-23;21;20214;42931,85
50166;2024-08-23;79;20215;7907,92
50167;2024-08-23;70;20246;22808,55
50168;2024-08-23;5;20433;71035,12
50169;2024-08-24;4;20023;45664,15
50170;2024-08-24;6;20211;115285,63
50171;2024-08-24;57;20223;246083,41
50172;2024-08-24;57;20225;278762,35
50173;2024-08-24;28;20464;192959,76
50174;2024-08-25;7;20022;182270,4
50175;2024-08-25;4;20024;144163,57
50176;2024-08-25;8;20041;124877,12
50177;2024-08-25;68;20042;19700,27
50178;2024-08-25;19;20222;57212,37
50179;2024-08-25;69;20346;40634,19
50180;2024-08-26;7;20014;70110,17
50181;2024-08-26;61;20034;35447,91
50182;2024-08-26;64;20047;33133,04
50183;2024-08-26;51;20053;62034,7
50184;2024-08-26;10;20196;54121,28
50185;2024-08-26;5;20470;27558,94
50186;2024-08-26;14;20478;19003,11
50187;2024-08-26;14;20535;61564,42
50188;2024-08-27;39;20011;28763,46
50189;2024-08-27;67;20045;176245,82
50190;2024-08-27;31;20247;279362,11
50191;2024-08-27;32;20334;148885,07
50192;2024-08-27;5;20498;30800,49
50193;2024-08-28;68;20069;100587,98
50194;2024-08-28;51;20074;41430,84
50195;2024-08-28;16;20091;357458,91
50196;2024-08-28;57;20204;172756,69
50197;2024-08-28;6;20239;299160,52
50198;2024-08-28;12;20250;37828,92
50199;2024-08-28;65;20338;12998,52
50200;2024-08-29;30;20055;17718,15
50201;2024-08-29;7;20129;212166,8
50202;2024-08-29;1;20212;35193,06
50203;2024-08-29;6;20232;245140,64
50204;2024-08-29;35;20242;323045,53
50205;2024-08-29;31;20245;218877,1
50206;2024-08-29;56;20259;92676,84
50207;2024-08-29;38;20263;101569,13
50208;2024-08-29;42;20386;51769,27
50209;2024-08-29;75;20416;85250,61
50210;2024-08-30;48;20039;8145,42
50211;2024-08-30;13;20070;77588,5
50212;2024-08-30;29;20098;34609,14
50213;2024-08-30;79;20219;37641,81
50214;2024-08-30;22;20275;19373,99
50215;2024-08-30;25;20289;53971,65
50216;2024-08-30;31;20290;110331,78
50217;2024-08-30;78;20320;32782,84
50218;2024-08-30;42;20391;12347,87
50219;2024-08-30;14;20421;9425,76
50220;2024-08-30;33;20557;10330,97
50221;2024-08-31;40;20111;294335,89
50222;2024-08-31;61;20144;39277,6
50223;2024-08-31;73;20227;262134,74
50224;2024-08-31;3;20276;54419,62
50225;2024-08-31;43;20291;30137,94
50226;2024-08-31;9;20293;23516,44
50227;2024-08-31;33;20501;67369,63
50228;2024-09-01;4;20019;65161,2
50229;2024-09-01;59;20038;51933,02
50230;2024-09-01;51;20075;64839,12
50231;2024-09-01;34;20110;88561,99
50232;2024-09-01;6;20244;235295,03
50233;2024-09-01;37;20251;43776,19
50234;2024-09-01;35;20256;289151,33
50235;2024-09-01;10;20312;91054,86
50236;2024-09-01;71;20581;9434,86
50237;2024-09-02;4;20237;220604,19
50238;2024-09-02;57;20249;250607,64
50239;2024-09-02;72;20266;1076,98
50240;2024-09-02;58;20282;454968,47
50241;2024-09-02;57;20292;395025,08
50242;2024-09-02;57;20304;306879,89
50243;2024-09-02;65;20328;119957,85
50244;2024-09-03;39;20009;51283,05
50245;2024-09-03;29;20208;50357,44
50246;2024-09-03;72;20255;17960,76
50247;2024-09-03;21;20265;24823,68
50248;2024-09-03;2;20283;306574,94
50249;2024-09-03;58;20299;345592,41
50250;2024-09-03;80;20315;232134,57
50251;2024-09-03;3;20325;706,56
50252;2024-09-03;78;20513;18330,68
50253;2024-09-04;59;20002;66960,62
50254;2024-09-04;20;20010;122421,54
50255;2024-09-04;15;20035;58392,14
50256;2024-09-04;37;20257;32416,29
50257;2024-09-04;12;20277;55662,55
50258;2024-09-04;35;20336;284724,47
50259;2024-09-04;78;20540;51049,28
50260;2024-09-05;39;20017;65235,44
50261;2024-09-05;73;20284;527884,93
50262;2024-09-05;76;20326;57837,58
50263;2024-09-05;6;20341;152445,05
50264;2024-09-05;66;20344;29396,97
50265;2024-09-05;5;20568;58770,66
50266;2024-09-05;28;20611;35060,92
50267;2024-09-06;64;20112;45149,18
50268;2024-09-06;16;20114;592053,73
50269;2024-09-06;16;20124;592879,45
50270;2024-09-06;16;20125;257993,9
50271;2024-09-06;6;20166;106607,61
50272;2024-09-06;69;20375;39953,24
50273;2024-09-06;14;20585;27974,58
50274;2024-09-06;14;20631;32782,17
50275;2024-09-07;20;20072;142406,38
50276;2024-09-07;63;20314;19977,69
50277;2024-09-08;68;20230;28273,17
50278;2024-09-08;52;20258;119789,37
50279;2024-09-08;58;20318;362786,88
50280;2024-09-08;33;20608;38583,26
50281;2024-09-08;14;20644;32218,93
50282;2024-09-09;44;20154;253600,98
50283;2024-09-09;49;20324;41373,06
50284;2024-09-09;43;20358;42774,53
50285;2024-09-09;25;20378;95286,61
50286;2024-09-09;36;20414;255652,7
50287;2024-09-10;61;20202;19514,92
50288;2024-09-10;21;20322;39951,51
50289;2024-09-10;22;20333;15930,9
50290;2024-09-10;1;20335;38369,04
50291;2024-09-10;25;20339;88283,98
50292;2024-09-10;19;20361;36208,11
50293;2024-09-10;65;20367;38577,42
50294;2024-09-10;14;20607;61837,71
50295;2024-09-11;64;20188;31371,36
50296;2024-09-11;8;20287;72897,41
50297;2024-09-11;13;20288;97596,02
50298;2024-09-11;24;20337;21045,41
50299;2024-09-11;19;20360;43583,53
50300;2024-09-11;17;20370;322987,81
50301;2024-09-11;73;20382;513365,15
50302;2024-09-11;66;20388;26676,37
50303;2024-09-11;31;20403;81546,91
50304;2024-09-11;36;20412;31691,22
50305;2024-09-11;65;20472;78331,28
50306;2024-09-11;27;20548;46114,24
50307;2024-09-11;28;20661;43420,88
50308;2024-09-12;24;20260;22109,75
50309;2024-09-12;7;20267;511755,91
50310;2024-09-12;51;20272;55278,22
50311;2024-09-12;6;20349;269416,11
50312;2024-09-12;50;20393;20689,58
50313;2024-09-12;21;20394;57698,59
50314;2024-09-12;66;20406;11081,52
50315;2024-09-13;62;20147;23349,76
50316;2024-09-13;52;20235;33724,96
50317;2024-09-13;52;20316;96013,59
50318;2024-09-13;37;20331;74924,89
50319;2024-09-13;51;20359;43660,96
50320;2024-09-13;73;20363;615005,73
50321;2024-09-13;80;20401;187442,17
50322;2024-09-13;58;20411;298961,24
50323;2024-09-13;23;20417;428344,01
50324;2024-09-13;65;20451;52995,37
50325;2024-09-13;36;20475;97887,45
50326;2024-09-14;6;20232;127983,79
50327;2024-09-14;73;20362;311664,09
50328;2024-09-14;50;20369;37282,66
50329;2024-09-14;9;20373;47578,23
50330;2024-09-14;42;20569;35688,99
50331;2024-09-15;29;20098;41674,58
50332;2024-09-15;39;20108;26048,88
50333;2024-09-15;59;20178;15603,56
50334;2024-09-15;39;20179;26173,49
50335;2024-09-15;30;20279;28257,0
50336;2024-09-15;58;20371;137656,0
50337;2024-09-15;80;20380;173111,46
50338;2024-09-15;3;20420;73035,99
50339;2024-09-15;76;20439;29114,16
50340;2024-09-15;32;20459;136655,55
50341;2024-09-15;33;20557;14197,65
50342;2024-09-15;47;20666;30980,79
50343;2024-09-15;71;20701;5719,52
50344;2024-09-16;39;20173;60576,2
50345;2024-09-16;61;20252;36625,15
50346;2024-09-16;29;20350;70347,56
50347;2024-09-16;46;20379;228060,11
50348;2024-09-16;36;20384;135389,39
50349;2024-09-16;72;20408;73832,84
50350;2024-09-16;49;20435;36115,48
50351;2024-09-16;77;20516;9852,04
50352;2024-09-16;41;20524;66947,89
50353;2024-09-16;77;20544;20814,23
50354;2024-09-17;39;20133;7951,7
50355;2024-09-17;62;20140;13473,4
50356;2024-09-17;74;20142;208551,78
50357;2024-09-17;20;20146;40736,56
50358;2024-09-17;76;20431;35312,04
50359;2024-09-17;63;20438;16604,85
50360;2024-09-17;37;20443;36929,18
50361;2024-09-17;70;20473;50600,17
50362;2024-09-18;39;20134;21029,7
50363;2024-09-18;20;20162;155037,87
50364;2024-09-18;61;20213;36284,05
50365;2024-09-18;44;20254;487968,96
50366;2024-09-18;64;20306;77465,99
50367;2024-09-18;68;20383;2904,64
50368;2024-09-18;4;20387;109295,04
50369;2024-09-18;21;20447;66936,3
50370;2024-09-18;14;20739;18504,46
50371;2024-09-19;20;20164;125745,95
50372;2024-09-19;16;20308;361373,87
50373;2024-09-19;57;20400;297118,08
50374;2024-09-19;19;20441;13407,63
50375;2024-09-19;43;20444;16381,9
50376;2024-09-19;6;20449;464257,69
50377;2024-09-19;35;20453;117471,68
50378;2024-09-19;17;20463;148268,24
50379;2024-09-19;75;20550;85671,47
50380;2024-09-19;75;20565;121904,82
50381;2024-09-20;59;20153;67000,11
50382;2024-09-20;11;20268;26351,0
50383;2024-09-20;7;20323;520271,02
50384;2024-09-20;73;20423;427356,29
50385;2024-09-20;25;20425;46347,64
50386;2024-09-20;73;20432;790126,3
50387;2024-09-20;56;20462;91114,85
50388;2024-09-20;1;20474;33959,37
50389;2024-09-20;38;20484;56436,16
50390;2024-09-20;79;20488;22882,98
50391;2024-09-20;78;20545;17611,19
50392;2024-09-20;42;20609;14825,26
50393;2024-09-20;28;20715;62738,75
50394;2024-09-20;5;20727;42364,66
50395;2024-09-20;33;20759;65468,52
50396;2024-09-21;48;20187;40859,97
50397;2024-09-21;15;20224;170598,18
50398;2024-09-21;19;20361;30890,85
50399;2024-09-21;63;20422;14847,31
50400;2024-09-21;16;20430;438818,87
50401;2024-09-21;75;20584;86377,66
50402;2024-09-21;71;20698;57348,79
50403;2024-09-22;39;20195;18086,72
50404;2024-09-22;31;20247;149063,63
50405;2024-09-22;52;20297;169783,3
50406;2024-09-22;4;20376;144112,19
50407;2024-09-22;80;20401;103219,73
50408;2024-09-22;8;20402;148944,81
50409;2024-09-22;50;20466;63983,02
50410;2024-09-22;79;20468;7714,9
50411;2024-09-22;9;20552;15019,94
50412;2024-09-23;48;20234;9208,85
50413;2024-09-23;67;20269;240079,14
50414;2024-09-23;30;20307;7232,7
50415;2024-09-23;16;20327;137690,38
50416;2024-09-23;6;20434;329564,81
50417;2024-09-23;21;20450;44358,39
50418;2024-09-23;19;20457;48765,96
50419;2024-09-23;9;20465;22216,3
50420;2024-09-23;19;20469;57946,21
50421;2024-09-23;58;20487;247007,29
50422;2024-09-23;70;20494;44607,64
50423;2024-09-23;58;20517;153236,07
50424;2024-09-23;32;20655;80716,68
50425;2024-09-23;47;20666;22025,04
50426;2024-09-23;14;20724;47975,71
50427;2024-09-24;62;20140;8601,57
50428;2024-09-24;59;20184;55621,63
50429;2024-09-24;30;20356;29066,25
50430;2024-09-24;22;20525;75388,49
50431;2024-09-25;18;20068;82334,29
50432;2024-09-25;30;20398;36446,51
50433;2024-09-25;36;20404;164596,17
50434;2024-09-25;4;20419;143218,28
50435;2024-09-25;16;20424;328196,13
50436;2024-09-25;57;20460;316812,67
50437;2024-09-26;18;20101;99713,23
50438;2024-09-26;39;20108;18511,03
50439;2024-09-26;39;20229;29985,89
50440;2024-09-26;16;20390;557876,49
50441;2024-09-26;65;20486;26889,16
50442;2024-09-26;76;20493;28087,93
50443;2024-09-26;79;20496;18029,36
50444;2024-09-26;73;20499;566035,67
50445;2024-09-26;63;20505;27813,02
50446;2024-09-26;49;20521;82637,02
50447;2024-09-26;21;20534;49017,31
50448;2024-09-26;32;20574;194508,06
50449;2024-09-26;1;20590;9194,18
50450;2024-09-26;47;20755;115555,88
50451;2024-09-27;48;20221;13641,26
50452;2024-09-27;34;20228;82095,42
50453;2024-09-27;31;20403;100823,93
50454;2024-09-27;58;20502;353302,09
50455;2024-09-27;76;20562;103035,85
50456;2024-09-27;37;20617;6792,96
50457;2024-09-28;15;20220;80708,52
50458;2024-09-28;73;20227;122041,59
50459;2024-09-28;29;20305;118952,02
50460;2024-09-28;3;20500;45690,18
50461;2024-09-28;22;20507;18221,47
50462;2024-09-28;35;20508;196298,9
50463;2024-09-28;31;20549;308775,82
50464;2024-09-28;49;20555;20468,13
50465;2024-09-28;69;20598;32284,38
50466;2024-09-28;32;20665;87540,97
50467;2024-09-29;13;20107;44369,21
50468;2024-09-29;40;20111;192424,82
50469;2024-09-29;45;20168;73847,82
50470;2024-09-29;4;20397;139866,02
50471;2024-09-29;50;20518;54903,26
50472;2024-09-29;79;20528;7771,53
50473;2024-09-29;35;20530;161716,64
50474;2024-09-29;77;20654;6372,96
50475;2024-09-29;14;20843;74703,1
50476;2024-09-30;72;20255;8408,29
50477;2024-09-30;59;20271;57951,12
50478;2024-09-30;39;20298;69092,05
50479;2024-09-30;7;20364;660336,94
50480;2024-09-30;66;20388;25423,2
50481;2024-09-30;30;20399;14244,88
50482;2024-09-30;24;20442;47091,61
50483;2024-09-30;52;20483;147981,32
50484;2024-09-30;40;20497;511060,75
50485;2024-09-30;31;20538;230459,18
50486;2024-09-30;63;20564;49243,64
50487;2024-09-30;12;20576;2966,36
50488;2024-09-30;75;20672;97567,34
50489;2024-09-30;41;20683;36850,48
50490;2024-09-30;14;20788;16016,97
50491;2024-10-01;18;20180;128433,71
50492;2024-10-01;36;20412;19403,77
50493;2024-10-01;40;20492;431960,94
50494;2024-10-01;25;20519;13922,55
50495;2024-10-01;56;20531;33530,06
50496;2024-10-01;23;20554;584085,57
50497;2024-10-01;19;20559;73030,76
50498;2024-10-01;58;20573;225222,64
50499;2024-10-01;50;20586;27920,78
50500;2024-10-01;70;20601;64318,72
50501;2024-10-01;77;20682;17334,71
50502;2024-10-01;77;20697;13044,82
50503;2024-10-01;28;20807;116581,09
50504;2024-10-02;44;20154;258947,35
50505;2024-10-02;59;20301;29526,66
50506;2024-10-02;24;20480;40339,92
50507;2024-10-02;9;20522;3573,72
50508;2024-10-02;35;20542;241534,46
50509;2024-10-02;21;20566;61580,24
50510;2024-10-02;79;20589;1323,58
50511;2024-10-02;69;20688;37012,99
50512;2024-10-02;28;20806;170315,34
50513;2024-10-02;5;20855;49721,39
50514;2024-10-03;34;20121;40626,03
50515;2024-10-03;16;20389;408041,82
50516;2024-10-03;7;20427;272977,77
50517;2024-10-03;76;20578;70500,54
50518;2024-10-03;3;20613;4932,33
50519;2024-10-03;22;20618;36618,2
50520;2024-10-03;14;20852;28370,56
50521;2024-10-04;18;20216;71407,71
50522;2024-10-04;37;20257;18446,04
50523;2024-10-04;59;20345;14822,34
50524;2024-10-04;9;20541;39484,85
50525;2024-10-04;35;20546;397685,53
50526;2024-10-04;49;20551;11072,8
50527;2024-10-04;56;20571;67875,59
50528;2024-10-04;72;20592;46471,7
50529;2024-10-05;74;20073;140354,39
50530;2024-10-05;26;20106;78141,89
50531;2024-10-05;36;20413;147314,13
50532;2024-10-05;8;20510;49158,06
50533;2024-10-05;31;20599;107595,89
50534;2024-10-05;9;20679;9232,47
50535;2024-10-06;36;20321;51754,58
50536;2024-10-06;22;20333;12354,57
50537;2024-10-06;16;20377;454082,8
50538;2024-10-06;52;20489;113231,85
50539;2024-10-06;9;20625;29128,04
50540;2024-10-06;41;20763;27133,27
50541;2024-10-07;59;20311;31438,02
50542;2024-10-07;30;20436;4837,89
50543;2024-10-07;9;20536;20639,02
50544;2024-10-07;75;20550;44173,44
50545;2024-10-07;50;20588;71912,1
50546;2024-10-07;76;20593;47105,88
50547;2024-10-07;73;20619;462521,03
50548;2024-10-07;79;20636;6119,34
50549;2024-10-07;72;20645;55753,4
50550;2024-10-07;65;20710;17342,52
50551;2024-10-07;71;20901;20134,03
50552;2024-10-08;61;20392;63211,09
50553;2024-10-08;52;20446;87007,92
50554;2024-10-08;64;20533;22660,57
50555;2024-10-08;58;20597;84562,97
50556;2024-10-08;19;20634;35662,76
50557;2024-10-08;23;20635;363147,66
50558;2024-10-08;49;20650;28944,47
50559;2024-10-08;69;20709;79606,26
50560;2024-10-08;41;20717;9824,83
50561;2024-10-08;77;20758;28405,64
50562;2024-10-08;75;20762;71105,07
50563;2024-10-08;75;20767;205219,41
50564;2024-10-08;69;20791;1983,51
50565;2024-10-08;69;20814;63929,88
50566;2024-10-08;5;20878;28817,67
50567;2024-10-09;34;20113;58822,78
50568;2024-10-09;26;20191;46251,77
50569;2024-10-09;7;20461;267986,2
50570;2024-10-09;24;20482;50455,36
50571;2024-10-09;3;20605;48292,79
50572;2024-10-09;80;20643;303454,28
50573;2024-10-09;32;20681;68785,42
50574;2024-10-09;32;20740;171046,82
50575;2024-10-09;27;20751;34529,98
50576;2024-10-09;27;20796;12704,76
50577;2024-10-09;32;20853;132940,81
50578;2024-10-09;14;20945;16313,65
50579;2024-10-10;18;20197;97998,87
50580;2024-10-10;51;20479;25274,78
50581;2024-10-10;64;20495;36079,78
50582;2024-10-10;6;20614;241399,63
50583;2024-10-10;19;20615;2801,54
50584;2024-10-10;12;20638;34321,32
50585;2024-10-10;46;20668;196823,53
50586;2024-10-10;42;20761;8845,55
50587;2024-10-10;28;20929;83173,57
50588;2024-10-10;5;20934;14141,83
50589;2024-10-11;62;20348;61338,42
50590;2024-10-11;15;20372;104285,99
50591;2024-10-11;74;20445;327846,41
50592;2024-10-11;34;20481;35581,51
50593;2024-10-11;61;20537;43254,54
50594;2024-10-11;35;20669;65310,01
50595;2024-10-11;46;20673;125956,07
50596;2024-10-12;39;20133;5597,68
50597;2024-10-12;24;20437;46149,15
50598;2024-10-12;34;20485;10897,87
50599;2024-10-12;8;20587;148274,16
50600;2024-10-12;16;20602;615085,32
50601;2024-10-12;35;20622;139216,14
50602;2024-10-12;79;20658;39561,02
50603;2024-10-12;27;20797;18592,36
50604;2024-10-12;27;20820;44358,58
50605;2024-10-12;28;20990;199372,89
50606;2024-10-13;54;20158;23046,71
50607;2024-10-13;62;20352;59697,84
50608;2024-10-13;79;20528;3420,87
50609;2024-10-13;44;20547;527985,57
50610;2024-10-13;68;20604;11937,09
50611;2024-10-13;4;20612;136837,98
50612;2024-10-13;70;20630;34529,22
50613;2024-10-13;56;20663;3280,79
50614;2024-10-13;49;20680;2086,36
50615;2024-10-13;10;20689;107546,17
50616;2024-10-13;69;20802;32378,28
50617;2024-10-14;67;20467;456555,76
50618;2024-10-14;70;20637;8070,3
50619;2024-10-14;9;20639;10489,88
50620;2024-10-14;16;20641;571377,88
50621;2024-10-14;65;20642;50230,27
50622;2024-10-14;49;20686;17452,6
50623;2024-10-14;21;20696;41444,61
50624;2024-10-14;2;20702;101735,82
50625;2024-10-14;12;20703;39346,38
50626;2024-10-14;41;20786;4222,21
50627;2024-10-14;27;20803;7458,62
50628;2024-10-14;77;20827;15355,22
50629;2024-10-14;32;20885;107168,99
50630;2024-10-14;32;20918;65785,58
50631;2024-10-15;11;20123;2930,4
50632;2024-10-15;51;20624;46956,6
50633;2024-10-15;67;20640;130068,17
50634;2024-10-15;79;20646;39350,08
50635;2024-10-15;57;20648;260182,97
50636;2024-10-15;77;20846;31018,84
50637;2024-10-16;11;20080;25312,81
50638;2024-10-16;61;20511;74226,16
50639;2024-10-16;68;20596;27749,28
50640;2024-10-16;24;20610;24217,93
50641;2024-10-16;24;20651;89950,42
50642;2024-10-16;6;20657;363553,54
50643;2024-10-16;12;20671;16568,73
50644;2024-10-16;10;20704;95828,96
50645;2024-10-16;70;20711;111569,57
50646;2024-10-16;32;20844;271210,46
50647;2024-10-16;77;20867;13414,0
50648;2024-10-16;78;20904;107650,93
50649;2024-10-16;71;20947;27465,87
50650;2024-10-16;14;20967;64225,16
50651;2024-10-16;47;20991;110601,38
50652;2024-10-17;52;20514;114887,76
50653;2024-10-17;12;20576;2707,38
50654;2024-10-17;50;20676;142899,36
50655;2024-10-17;58;20691;11663,4
50656;2024-10-17;73;20719;183673,14
50657;2024-10-17;27;20838;13494,14
50658;2024-10-17;77;20889;23518,09
50659;2024-10-17;14;20945;10355,39
50660;2024-10-18;53;20054;26136,81
50661;2024-10-18;34;20319;36521,17
50662;2024-10-18;72;20678;33535,6
50663;2024-10-18;22;20692;42351,17
50664;2024-10-18;22;20720;48979,01
50665;2024-10-18;17;20725;309367,22
50666;2024-10-18;58;20733;391206,51
50667;2024-10-18;2;20738;376387,41
50668;2024-10-18;75;20882;27411,86
50669;2024-10-18;5;21001;55715,85
50670;2024-10-18;47;21034;87161,99
50671;2024-10-19;74;20176;283756,21
50672;2024-10-19;59;20452;32956,2
50673;2024-10-19;59;20458;71423,41
50674;2024-10-19;35;20669;84523,86
50675;2024-10-19;56;20685;53850,48
50676;2024-10-19;19;20693;82647,06
50677;2024-10-19;17;20705;419738,31
50678;2024-10-19;73;20716;306325,74
50679;2024-10-19;75;20871;108498,29
50680;2024-10-20;13;20396;56082,07
50681;2024-10-20;15;20455;120383,98
50682;2024-10-20;36;20477;83489,02
50683;2024-10-20;8;20633;19747,42
50684;2024-10-20;68;20664;134270,05
50685;2024-10-20;30;20675;81463,97
50686;2024-10-20;22;20728;36415,99
50687;2024-10-20;73;20731;176016,54
50688;2024-10-20;2;20732;93765,65
50689;2024-10-20;35;20742;139682,55
50690;2024-10-20;2;20746;297052,18
50691;2024-10-20;70;20781;58311,12
50692;2024-10-20;32;20942;149317,97
50693;2024-10-20;28;20984;62825,34
50694;2024-10-21;13;20302;17782,17
50695;2024-10-21;11;20509;23865,17
50696;2024-10-21;14;20788;17816,0
50697;2024-10-22;11;20040;17043,73
