ClienteID;Cliente;Segmento;Localidad;Provincia;VendedorID;CondicionPago;FechaAlta;_PerfilPago
65;Distribuidora El Cruce;Almacén;Río Cuarto;Córdoba;3;Cta Cte 15 días;2021-04-26;1
66;Kiosco La Perla;Almacén;Arroyito;Córdoba;2;Cta Cte 30 días;2021-05-17;0
67;Autoservicio Los Hermanos;Supermercado;Río Cuarto;Córdoba;4;Cta Cte 30 días;2024-07-03;1
68;Kiosco La Perla;Almacén;Las Varillas;Córdoba;2;Cta Cte 30 días;2019-11-27;1
69;Distribuidora Del Parque;Almacén;Arroyito;Córdoba;3;Contado;2020-08-20;1
70;Despensa El Progreso;Almacén;San Francisco;Córdoba;1;Cta Cte 15 días;2023-05-01;1
71;Kiosco Santa Ana;Kiosco;Las Varillas;Córdoba;5;Contado;2022-04-22;0
72;Distribuidora El Progreso;Almacén;Arroyito;Córdoba;1;Cta Cte 30 días;2020-06-15;0
73;Kiosco La Esquina;Mayorista;Leones;Córdoba;5;Cta Cte 30 días;2024-04-02;0
74;Despensa Los Alamos;Supermercado;Las Varillas;Córdoba;4;Cta Cte 30 días;2023-12-16;2
75;Kiosco Del Parque;Autoservicio;Rafaela;Santa Fe;5;Cta Cte 15 días;2024-02-23;0
76;Kiosco La Nueva;Almacén;Venado Tuerto;Santa Fe;3;Cta Cte 30 días;2025-02-24;0
77;Distribuidora La Central;Kiosco;Las Varillas;Córdoba;3;Cta Cte 15 días;2021-03-16;0
78;Súper Don Pedro;Almacén;Casilda;Santa Fe;2;Contado;2022-04-18;1
79;Kiosco El Cruce;Kiosco;Bell Ville;Córdoba;3;Cta Cte 30 días;2022-08-31;0
80;Maxikiosco La Victoria;Supermercado;Villa Nueva;Córdoba;1;Cta Cte 30 días;2024-06-16;0
